ID,UKHAB
Cropland,Arable field margins cultivated annually
Cropland,Arable field margins game bird mix
Cropland,Arable field margins pollen & nectar
Cropland,Arable field margins tussocky
Cropland,Cereal crops
,
Cropland,Cereal crops winter stubble
Cropland,Horticulture
Cropland,Intensive orchards
Cropland,Non-cereal crops
Cropland,Temporary grass and clover leys
Grassland,Traditional orchards
Grassland,Bracken
Grassland,Floodplain Wetland Mosaic (CFGM)
Grassland,Lowland calcareous grassland
Grassland,Lowland dry acid grassland
Grassland,Lowland meadows
Grassland,Modified grassland
Grassland,Other lowland acid grassland
Grassland,Other neutral grassland
Grassland,Tall herb communities (H6430)
Grassland,Upland acid grassland
Grassland,Upland calcareous grassland
Grassland,Upland hay meadows
Heathland and shrub,Blackthorn scrub
Heathland and shrub,Bramble scrub
Heathland and shrub,Gorse scrub
Heathland and shrub,Hawthorn scrub
Heathland and shrub,Hazel scrub
Heathland and shrub,Lowland Heathland
Heathland and shrub,Mixed scrub
Heathland and shrub,Mountain heaths and willow scrub
Heathland and shrub,Rhododendron scrub
Heathland and shrub,Sea buckthorn scrub (Annex 1)
Heathland and shrub,Sea buckthorn scrub (other)
Heathland and shrub,Upland Heathland
Lakes,Aquifer fed naturally fluctuating water bodies
Lakes,Ornamental lake or pond
Lakes,High alkalinity lakes
Lakes,Low alkalinity lakes
Lakes,Marl Lakes
Lakes,Moderate alkalinity lakes
Lakes,Peat Lakes
Lakes,Ponds (Priority Habitat)
Lakes,Ponds (Non- Priority Habitat)
Lakes,Reservoirs
Lakes,"Temporary lakes, ponds and pools"
Sparsely vegetated land,Calaminarian grasslands
Sparsely vegetated land,Coastal sand dunes
Sparsely vegetated land,Coastal vegetated shingle
Sparsely vegetated land,Ruderal/Ephemeral
Sparsely vegetated land,Inland rock outcrop and scree habitats
Sparsely vegetated land,Limestone pavement
Sparsely vegetated land,Maritime cliff and slopes
Sparsely vegetated land,Other inland rock and scree
Urban,Allotments
Urban,"Artificial unvegetated, unsealed surface"
Urban,Bioswale
Urban,Biodiverse green roof
Urban,Built linear features
Urban,Cemeteries and churchyards
Urban,Developed land; sealed surface
Urban,Other green roof
Urban,Ground level planters
Urban,Intensive green roof
Urban,Introduced shrub
Urban,Open Mosaic Habitats on Previously Developed Land
Urban,Rain garden
Urban,Actively worked sand pit quarry or open cast mine
Urban,Sustainable urban drainage feature
Urban,Un-vegetated garden
Urban,Vacant/derelict land/ bareground
Urban,Vegetated garden
Wetland,Blanket bog
Wetland,Depressions on Peat substrates (H7150)
Wetland,Fens (upland and lowland)
Wetland,Lowland raised bog
Wetland,Oceanic Valley Mire[1] (D2.1)
Wetland,Purple moor grass and rush pastures
Wetland,Reedbeds
Wetland,Transition mires and quaking bogs (H7140)
Woodland and forest,Felled
Woodland and forest,Lowland beech and yew woodland
Woodland and forest,Lowland mixed deciduous woodland
Woodland and forest,Native pine woodlands
Woodland and forest,Other coniferous woodland
Woodland and forest,Other Scot's Pine woodland
Woodland and forest,Other woodland; broadleaved
Woodland and forest,Other woodland; mixed
Woodland and forest,Upland birchwoods
Woodland and forest,Upland mixed ashwoods
Woodland and forest,Upland oakwood
Woodland and forest,Wet woodland
Woodland and forest,Wood-pasture and parkland
Coastal lagoons,Coastal lagoons
Rocky shore,High energy littoral rock
Rocky shore,"High energy littoral rock - on peat, clay or chalk"
Rocky shore,Moderate energy littoral rock
Rocky shore,"Moderate energy littoral rock - on peat, clay or chalk"
Rocky shore,Low energy littoral rock
Rocky shore,"Low energy littoral rock - on peat, clay or chalk"
Rocky shore,Features of littoral rock
Rocky shore,"Features of littoral rock - on peat, clay or chalk"
Coastal saltmarsh,Saltmarshes and saline reedbeds
Coastal saltmarsh,Artificial saltmarshes and saline reedbeds
Intertidal sediment,Littoral coarse sediment
Intertidal sediment,Littoral mud
Intertidal sediment,Littoral mixed sediments
Intertidal sediment,Littoral seagrass
Intertidal sediment,"Littoral seagrass on peat, clay or chalk"
Intertidal sediment,Littoral biogenic reefs - Mussels
Intertidal sediment,Littoral biogenic reefs - Sabellaria
Intertidal sediment,Features of littoral sediment
Intertidal sediment,Artificial littoral coarse sediment
Intertidal sediment,Artificial littoral mud
Intertidal sediment,Artificial littoral sand
Intertidal sediment,Artificial littoral muddy sand
Intertidal sediment,Artificial littoral mixed sediments
Intertidal sediment,Artificial littoral seagrass
Intertidal sediment,Artificial littoral biogenic reefs
Intertidal sediment,Littoral sand
Intertidal sediment,Littoral muddy sand
Intertidal Hard Structures,Artificial hard structures
Intertidal Hard Structures,Artificial features of hard structures
Intertidal Hard Structures,Artificial hard structures with Integrated Greening of Grey Infrastructure (IGGI)
River Area,River
